timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
860704723,860704244,0,nan,nan,1.526769,1.4750073,-0.34707108,1.0054654,2.6427975,0.24295658,0.018061696,0.077233635,0.0027887817,0.002706346,-2.4855537,-0.16062875,-0.00048217044,0.19292572,-0.30995876,0.7227162,1.5283118,0.16137503,nan,0.1,0.015439067,0.010970481,0.042055868,0.02974933,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860722801,860722293,0,nan,nan,1.5271522,1.4762754,-0.34706953,1.0054654,2.6427975,0.24295658,0.024345685,0.08127934,-0.0010664227,-0.0011506517,-2.4855537,-0.16062875,-0.00048217044,0.6983124,0.5527202,0.2320657,1.5282973,0.16137503,nan,0.1,0.015857805,0.011266149,0.042495206,0.030049872,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860740706,860740247,0,nan,nan,1.5275532,1.4777119,-0.3470585,1.0054654,2.6427975,0.24295658,0.02647902,0.08014824,0.00087294204,0.00078646286,-2.4855537,-0.16062875,-0.00048217044,1.5823364,-0.12519075,-0.06941988,1.5283015,0.16137503,nan,0.1,0.016269425,0.011556517,0.042918783,0.03033003,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860758746,860758249,0,nan,nan,1.5279241,1.4790623,-0.34707677,1.0054654,2.6427975,0.24295658,0.019830365,0.08599813,0.0018511647,0.0017620804,-2.4855537,-0.16062875,-0.00048217044,0.26663503,-0.093260236,0.40535074,1.528416,0.16137503,nan,0.1,0.016672993,0.011840859,0.043330565,0.030589873,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860785614,860785254,0,nan,nan,1.5284973,1.4810994,-0.34707826,1.0054654,2.6427975,0.24295658,0.01865337,0.08803215,0.0019361409,0.0018427105,-2.4855537,-0.16062875,-0.00048217044,-0.23732442,-0.29375112,0.24907026,1.5282799,0.16137503,nan,0.1,0.017391115,0.012347281,0.044084866,0.03110097,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860803691,860803255,0,nan,nan,1.528901,1.48247,-0.3470779,1.0054654,2.6427975,0.24295658,0.023225002,0.09288036,-0.0014289872,-0.0015254483,-2.4855537,-0.16062875,-0.00048217044,-0.8734169,1.3849666,-0.22656897,1.5283026,0.16137503,nan,0.1,0.017768193,0.01261183,0.044385046,0.031302042,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860821768,860821255,0,nan,nan,1.5292645,1.4838644,-0.34707227,1.0054654,2.6427975,0.24295658,0.024703912,0.089051366,-0.00088079815,-0.0009805828,-2.4855537,-0.16062875,-0.00048217044,-0.19924791,-0.6524447,-0.68326634,1.5282699,0.16137503,nan,0.1,0.01813271,0.012867299,0.04467356,0.031483848,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860839787,860839256,0,nan,nan,1.5296655,1.4852436,-0.347091,1.0054654,2.6427975,0.24295658,0.022396145,0.09321976,0.002376604,0.0022732303,-2.4855537,-0.16062875,-0.00048217044,-0.24407054,-0.02615985,0.5299181,1.5283542,0.16137503,nan,0.1,0.018484056,0.013113184,0.04492298,0.031646892,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860866784,860866259,0,nan,nan,1.5302914,1.4874388,-0.34709626,1.0054654,2.6427975,0.24295658,0.026404863,0.09604377,2.7078278e-05,-8.225555e-05,-2.4855537,-0.16062875,-0.00048217044,0.5450605,0.21378526,-0.08835148,1.528329,0.16137503,nan,0.1,0.018984942,0.013463124,0.045255944,0.03185779,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860884723,860884261,0,nan,nan,1.5306982,1.4887981,-0.34710976,1.0054654,2.6427975,0.24295658,0.026282312,0.09662628,0.0006292848,0.0005158258,-2.4855537,-0.16062875,-0.00048217044,-0.2930765,0.11687944,0.29747763,1.528294,0.16137503,nan,0.1,0.019483399,0.013813518,0.045770545,0.032185823,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860902798,860902309,0,nan,nan,1.5310892,1.4901743,-0.34711584,1.0054654,2.6427975,0.24295658,0.027458062,0.09848021,-0.0003670292,-0.00048477695,-2.4855537,-0.16062875,-0.00048217044,0.8819111,0.11708011,-0.04958265,1.5283597,0.16137503,nan,0.1,0.019780962,0.014020319,0.0459311,0.032275893,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860920699,860920263,0,nan,nan,1.5315056,1.4915395,-0.34712663,1.0054654,2.6427975,0.24295658,0.026322778,0.103506975,0.00016507959,4.272886e-05,-2.4855537,-0.16062875,-0.00048217044,-0.19298275,0.83254385,0.0073357406,1.5286217,0.16137503,nan,0.1,0.02006304,0.0142159965,0.046059523,0.03235132,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860938699,860938265,0,nan,nan,1.5318837,1.4928846,-0.3471257,1.0054654,2.6427975,0.24295658,0.02852961,0.10076814,-0.00044902312,-0.0005764287,-2.4855537,-0.16062875,-0.00048217044,0.32366946,-0.2212644,-0.10987948,1.5288713,0.16137503,nan,0.1,0.020329582,0.014400548,0.046169646,0.032412883,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860965797,860965267,0,nan,nan,1.5324879,1.4948156,-0.3471417,1.0054654,2.6427975,0.24295658,0.032766934,0.10234944,-0.00112765,-0.0012629005,-2.4855537,-0.16062875,-0.00048217044,0.57896703,0.1712454,-0.08784361,1.5283504,0.16137503,nan,0.1,0.020700408,0.014656725,0.04630738,0.03248218,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860983748,860983269,0,nan,nan,1.5328894,1.496105,-0.34714508,1.0054654,2.6427975,0.24295658,0.028700514,0.104220346,0.0004996609,0.0003596131,-2.4855537,-0.16062875,-0.00048217044,0.4940766,0.2008849,-0.1565493,1.5283839,0.16137503,nan,0.1,0.021153921,0.014973835,0.046719328,0.03275061,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
861001745,861001270,0,nan,nan,1.5333283,1.497562,-0.34716052,1.0054654,2.6427975,0.24295658,0.029747006,0.10689537,0.0008469258,0.0007018007,-2.4855537,-0.16062875,-0.00048217044,-0.24250467,-0.23486684,0.13283432,1.5286287,0.16137503,nan,0.1,0.021359166,0.015114731,0.046748377,0.032754846,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
861019760,861019277,0,nan,nan,1.5337354,1.4988,-0.34717143,1.0054654,2.6427975,0.24295658,0.032000836,0.10916623,1.745639e-05,-0.00013294232,-2.4855537,-0.16062875,-0.00048217044,-0.39673534,0.5172865,0.11344537,1.5285839,0.16137503,nan,0.1,0.021550426,0.015245568,0.046797246,0.0327515,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
861046788,861046274,0,nan,nan,1.5342888,1.5005975,-0.34717214,1.0054654,2.6427975,0.24295658,0.028387066,0.10994542,-0.0005184134,-0.00067667407,-2.4855537,-0.16062875,-0.00048217044,-0.2742455,0.41733873,-0.0106642945,1.5283848,0.16137503,nan,0.1,0.02181096,0.015422996,0.046809413,0.032733638,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
861064843,861064276,0,nan,nan,1.5345815,1.501767,-0.34718102,1.0054654,2.6427975,0.24295658,0.027072372,0.10841205,-0.0003976978,-0.00056091265,-2.4855537,-0.16062875,-0.00048217044,0.15997042,0.012855835,-0.19265793,1.5285665,0.16137503,nan,0.1,0.022229128,0.015714085,0.04717615,0.032972988,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
